,trial,End_Time(yrs),whole_system_stable,planet
766,4757,692.2496034,no,1
767,4757,698.5706192,no,2
768,4758,639.3344831,no,0
769,4758,588.6093741,no,1
770,4758,588.6093741,no,2
771,4759,1000614.648,yes,0
772,4759,1000614.648,yes,1
773,4759,1000614.648,yes,2
774,4760,2086.121519,no,0
775,4760,2086.121519,no,1
776,4760,3253.316327,no,2
777,4761,11729.23689,no,0
778,4761,441.2707189,no,1
779,4761,441.2707189,no,2
780,4762,1000614.648,yes,0
781,4762,1000614.648,yes,1
782,4762,1000614.648,yes,2
783,4763,1000614.648,yes,0
784,4763,1000614.648,yes,1
785,4763,1000614.648,yes,2
786,4764,1000614.648,yes,0
787,4764,1000614.648,yes,1
788,4764,1000614.648,yes,2
789,4765,1000614.648,yes,0
790,4765,1000614.648,yes,1
791,4765,1000614.648,yes,2
792,4766,61253.34161,no,0
793,4766,58815.70223,no,1
794,4766,1000614.648,no,2
795,4767,1000614.648,yes,0
796,4767,1000614.648,yes,1
797,4767,1000614.648,yes,2
798,4768,1000614.648,yes,0
799,4768,1000614.648,yes,1
800,4768,1000614.648,yes,2
801,4769,1000614.648,yes,0
802,4769,1000614.648,yes,1
803,4769,1000614.648,yes,2
804,4770,1000614.648,yes,0
805,4770,1000614.648,yes,1
806,4770,1000614.648,yes,2
807,4771,34084.18411,no,0
808,4771,34084.18411,no,1
809,4771,46198.65649,no,2
810,4772,1000614.648,yes,0
811,4772,1000614.648,yes,1
812,4772,1000614.648,yes,2
813,4773,1441.321749,no,0
814,4773,1441.321749,no,1
815,4773,2377.051013,no,2
816,4774,443.3886667,no,0
817,4774,341.3156157,no,1
818,4774,341.3156157,no,2
819,4775,12418.65234,no,0
820,4775,3774.450338,no,1
821,4775,3774.450338,no,2
822,4776,1000614.648,yes,0
823,4776,1000614.648,yes,1
824,4776,1000614.648,yes,2
825,4777,1000614.648,yes,0
826,4777,1000614.648,yes,1
827,4777,1000614.648,yes,2
828,4778,525.0990753,no,0
829,4778,301.8403415,no,1
830,4778,301.8403415,no,2
831,4779,1000614.648,yes,0
832,4779,1000614.648,yes,1
833,4779,1000614.648,yes,2
834,4780,1540.204688,no,0
835,4780,1540.204688,no,1
836,4780,4487.909406,no,2
837,4781,302.6372243,no,0
838,4781,302.6372243,no,1
839,4781,1085.789852,no,2
840,4782,2460.841354,no,0
841,4782,1388.512643,no,1
842,4782,1388.512643,no,2
843,4783,15139.22329,no,0
844,4783,15139.22329,no,1
845,4783,15277.91449,no,2
846,4784,83.72454,no,0
847,4784,44.7261302,no,1
848,4784,44.7261302,no,2
849,4785,1000614.648,yes,0
850,4785,1000614.648,yes,1
851,4785,1000614.648,yes,2
852,4786,1000614.648,yes,0
853,4786,1000614.648,yes,1
854,4786,1000614.648,yes,2
855,4787,1000614.648,yes,0
856,4787,1000614.648,yes,1
857,4787,1000614.648,yes,2
858,4788,117499.6037,no,0
859,4788,117499.6037,no,1
860,4788,117607.5872,no,2
861,4789,1000614.648,yes,0
862,4789,1000614.648,yes,1
863,4789,1000614.648,yes,2
864,4790,1128.225819,no,0
865,4790,1128.225819,no,1
866,4790,375503.9346,no,2
867,4791,1292.678509,no,0
868,4791,1292.678509,no,1
869,4791,1295.440807,no,2
870,4792,99129.76917,no,0
871,4792,99129.76917,no,1
872,4792,104030.3576,no,2
873,4793,1000614.648,yes,0
874,4793,1000614.648,yes,1
875,4793,1000614.648,yes,2
876,4794,1742.720019,no,0
877,4794,132.4661813,no,1
878,4794,132.4661813,no,2
879,4795,881.871922,no,0
880,4795,776.3074357,no,1
881,4795,776.3074357,no,2
882,4796,6726.387102,no,0
883,4796,6726.387102,no,1
884,4796,7405.774861,no,2
885,4797,224.6483707,no,0
886,4797,224.6483707,no,1
887,4797,12374.51558,no,2
888,4798,5048.603651,no,0
889,4798,5048.603651,no,1
890,4798,6285.619629,no,2
891,4799,3408.265936,no,0
892,4799,3408.265936,no,1
893,4799,6168.567771,no,2
894,4800,14853.76443,no,0
895,4800,2943.848314,no,1
896,4800,2943.848314,no,2
897,4801,7834.458237,no,0
898,4801,7834.458237,no,1
899,4801,7876.05556,no,2
900,4802,9637.782634,no,0
